name,longitude,latitude,prov,date,key
"Lycorma delicatula (White, 1845)",-75.106261,39.817884,gbif,2020-06-14,2802582938
"Lycorma delicatula (White, 1845)",-75.599158,39.93485,gbif,2020-06-15,2802583090
"Lycorma delicatula (White, 1845)",-75.163632,40.128179,gbif,2020-06-12,2802584111
"Lycorma delicatula (White, 1845)",-75.079078,40.0934,gbif,2020-06-13,2802590265
"Lycorma delicatula (White, 1845)",128.457042,37.493449,gbif,2020-06-07,2802590951
"Lycorma delicatula (White, 1845)",-75.197922,40.725533,gbif,2020-06-17,2802593199
"Lycorma delicatula (White, 1845)",116.276718,39.99913,gbif,2020-06-14,2802594022
"Lycorma delicatula (White, 1845)",-75.600617,39.923713,gbif,2020-06-17,2802594222
"Lycorma delicatula (White, 1845)",-75.239278,40.036001,gbif,2020-06-12,2802598016
"Lycorma delicatula (White, 1845)",-74.947943,40.374342,gbif,2020-06-13,2802599253
"Lycorma delicatula (White, 1845)",-75.226445,40.072819,gbif,2020-06-12,2802602055
"Lycorma delicatula (White, 1845)",-75.903565,39.710677,gbif,2020-06-17,2802603181
"Lycorma delicatula (White, 1845)",-75.085486,40.123872,gbif,2020-06-08,2802606854
"Lycorma delicatula (White, 1845)",-75.142494,39.947269,gbif,2020-06-13,2802609276
"Lycorma delicatula (White, 1845)",-75.189006,39.959252,gbif,2020-06-18,2802630367
"Lycorma delicatula (White, 1845)",-75.89449,39.706112,gbif,2020-06-23,2802632823
"Lycorma delicatula (White, 1845)",-75.28668,40.155057,gbif,2020-06-15,2802636027
"Lycorma delicatula (White, 1845)",-75.538751,39.992423,gbif,2020-06-20,2802645371
"Lycorma delicatula (White, 1845)",-75.252628,39.884597,gbif,2020-06-20,2802655007
"Lycorma delicatula (White, 1845)",-75.905811,39.761976,gbif,2020-06-15,2802661591
"Lycorma delicatula (White, 1845)",-75.243465,40.599158,gbif,2020-06-24,2802662989
"Lycorma delicatula (White, 1845)",-76.322647,40.044297,gbif,2020-06-17,2802675177
"Lycorma delicatula (White, 1845)",-75.468057,40.854757,gbif,2020-06-23,2802678005
"Lycorma delicatula (White, 1845)",-75.361397,39.902478,gbif,2020-06-14,2802678581
"Lycorma delicatula (White, 1845)",-75.11337,40.264963,gbif,2020-06-15,2802683334
"Lycorma delicatula (White, 1845)",-75.161872,40.343845,gbif,2020-06-15,2802683473
"Lycorma delicatula (White, 1845)",-75.169291,40.338467,gbif,2020-06-18,2802687715
"Lycorma delicatula (White, 1845)",-75.166083,40.338528,gbif,2020-06-15,2802691208
"Lycorma delicatula (White, 1845)",-75.205688,39.98478,gbif,2020-06-21,2802698586
"Lycorma delicatula (White, 1845)",-75.254159,40.011623,gbif,2020-06-14,2802745536
"Lycorma delicatula (White, 1845)",-75.009907,40.37264,gbif,2020-06-17,2802752901
"Lycorma delicatula (White, 1845)",-74.81655,40.502097,gbif,2020-06-18,2802762483
"Lycorma delicatula (White, 1845)",-75.296265,39.874431,gbif,2020-06-19,2802765634
"Lycorma delicatula (White, 1845)",-75.113306,40.264961,gbif,2020-06-15,2802772061
"Lycorma delicatula (White, 1845)",-75.240897,40.138625,gbif,2020-06-24,2802773171
"Lycorma delicatula (White, 1845)",-75.10408,40.069339,gbif,2020-06-21,2802774621
"Lycorma delicatula (White, 1845)",-75.52419,39.813458,gbif,2020-06-05,2802785242
"Lycorma delicatula (White, 1845)",-75.074436,40.138711,gbif,2020-06-16,2802786522
"Lycorma delicatula (White, 1845)",-75.254258,40.011699,gbif,2020-06-14,2802794673
"Lycorma delicatula (White, 1845)",-75.254049,40.011686,gbif,2020-06-14,2802797464
"Lycorma delicatula (White, 1845)",-75.180595,39.94524,gbif,2020-06-19,2802808705
"Lycorma delicatula (White, 1845)",-75.370391,40.013205,gbif,2020-06-21,2802811446
"Lycorma delicatula (White, 1845)",-75.079346,40.275917,gbif,2020-06-11,2802811978
"Lycorma delicatula (White, 1845)",-75.177012,39.862311,gbif,2020-06-08,2802820913
"Lycorma delicatula (White, 1845)",-75.259971,40.721738,gbif,2020-06-17,2802822555
"Lycorma delicatula (White, 1845)",-75.1133,40.264942,gbif,2020-06-14,2802828021
"Lycorma delicatula (White, 1845)",126.968056,37.571667,gbif,2020-06-21,2802829749
"Lycorma delicatula (White, 1845)",116.28388699999999,40.059944,gbif,2020-06-21,2802835195
"Lycorma delicatula (White, 1845)",-75.016392,40.049771,gbif,2020-06-21,2802835241
"Lycorma delicatula (White, 1845)",-75.344604,40.056093,gbif,2020-06-23,2802846039
"Lycorma delicatula (White, 1845)",-75.317331,39.991054,gbif,2020-06-12,2802890991
