name,decimalLatitude,decimalLongitude
Ailanthus altissima,38.639404,-77.192042
Ailanthus altissima,40.735868,-73.945021
Ailanthus altissima,36.064442,-86.87725
Ailanthus altissima,33.857837,-117.707423
Ailanthus altissima,39.73265,-76.051048
Ailanthus altissima,40.973636,-73.96305
Ailanthus altissima,40.766777,-73.951116
Ailanthus altissima,52.450558,13.342144
Ailanthus altissima,45.18426,5.71201
Ailanthus altissima,45.75502,4.87734
Ailanthus altissima,42.063877,-87.699478
Ailanthus altissima,37.313576,-122.064079
Ailanthus altissima,39.262828,-76.584962
Ailanthus altissima,36.180817,-86.65853
Ailanthus altissima,45.7596,4.876
Ailanthus altissima,40.596919,-73.509182
Ailanthus altissima,40.916204,-74.091743
Ailanthus altissima,41.504646,-81.695839
Ailanthus altissima,40.736308,-73.942624
Ailanthus altissima,40.556372,-74.571961
Ailanthus altissima,46.998805,6.94573
Ailanthus altissima,46.162867,9.907434
Ailanthus altissima,40.20632,-8.40353
Ailanthus altissima,29.748136,-98.724887
Ailanthus altissima,39.110755,-84.505839
Ailanthus altissima,43.64128,-79.469642
Ailanthus altissima,35.794628,-84.961088
Ailanthus altissima,52.448765,13.404093
Ailanthus altissima,32.905937,-97.115351
Ailanthus altissima,38.807187,-77.046089
Ailanthus altissima,41.05822,-7.16494
Ailanthus altissima,40.442617,-79.949189
Ailanthus altissima,40.735661,-73.941453
Ailanthus altissima,40.769243,-73.951926
Ailanthus altissima,34.106708,-118.245942
Ailanthus altissima,40.98801,-6.92794
Ailanthus altissima,40.21263,-8.39605
Ailanthus altissima,40.637402,-74.511589
Ailanthus altissima,40.816982,-73.96304
Ailanthus altissima,45.75593,4.87692
Ailanthus altissima,38.065687,-81.076812
Ailanthus altissima,39.794495,-74.277008
Ailanthus altissima,38.943206000000004,-9.410931
Ailanthus altissima,33.393913,-110.768113
Ailanthus altissima,52.513027,13.332072
Ailanthus altissima,40.851844,-73.897208
Ailanthus altissima,40.769805,-73.950944
Ailanthus altissima,40.769756,-73.950831
Ailanthus altissima,40.773443,-73.957365
Ailanthus altissima,40.745406,-73.975026
Ailanthus altissima,40.76985,-73.949199
Ailanthus altissima,40.770293,-73.952299
Ailanthus altissima,40.769597,-73.949796
Ailanthus altissima,40.771221,-73.954664
Ailanthus altissima,40.884274,-73.913021
Ailanthus altissima,40.84066,-73.787172
Ailanthus altissima,40.870091,-73.912284
Ailanthus altissima,40.887851,-73.911549
Ailanthus altissima,40.711184,-73.933802
Ailanthus altissima,40.888474,-73.912342
Ailanthus altissima,40.746309,-73.974901
Ailanthus altissima,40.778155,-73.950561
Ailanthus altissima,40.714536,-73.963341
Ailanthus altissima,40.809644,-73.877728
Ailanthus altissima,40.809816,-73.879091
Ailanthus altissima,40.656858,-73.586105
Ailanthus altissima,41.289926,-72.375101
Ailanthus altissima,35.816995,-84.903678
Ailanthus altissima,38.586611,-90.346768
Ailanthus altissima,38.74099,-9.16592
Ailanthus altissima,38.76966,-9.12186
Ailanthus altissima,40.769398,-73.949219
Ailanthus altissima,40.770818,-73.952294
Ailanthus altissima,40.770989,-73.953593
Ailanthus altissima,40.769851,-73.949693
Ailanthus altissima,40.77213,-73.952861
Ailanthus altissima,40.769849,-73.954565
Ailanthus altissima,40.714082,-73.924014
Ailanthus altissima,40.736851,-73.942151
Ailanthus altissima,40.76844,-73.952621
Ailanthus altissima,40.695503,-73.953522
Ailanthus altissima,40.880687,-73.913158
Ailanthus altissima,35.821787,-84.899147
Ailanthus altissima,40.790527,-73.925335
Ailanthus altissima,40.789936,-73.925577
Ailanthus altissima,40.809706,-73.878936
Ailanthus altissima,40.810048,-73.87681
Ailanthus altissima,40.867599,-73.87644
Ailanthus altissima,40.881439,-73.902013
Ailanthus altissima,38.233041,-78.368225
Ailanthus altissima,40.775591,-73.991709
Ailanthus altissima,40.851604,-73.897355
Ailanthus altissima,40.852043,-73.896665
Ailanthus altissima,40.858997,-73.89258
Ailanthus altissima,40.886746,-73.900369
Ailanthus altissima,40.772908,-73.956005
Ailanthus altissima,40.746303,-73.975186
Ailanthus altissima,40.746337,-73.97533
Ailanthus altissima,40.745411,-73.974997
Ailanthus altissima,40.759086,-73.957905
Ailanthus altissima,40.708261,-73.929501
Ailanthus altissima,40.769361,-73.949602
Ailanthus altissima,40.769507,-73.949656
Ailanthus altissima,40.714836,-73.802474
Ailanthus altissima,40.774168,-73.945014
Ailanthus altissima,40.772112,-73.952901
Ailanthus altissima,40.88796,-73.914718
Ailanthus altissima,40.734258,-73.938495
Ailanthus altissima,40.708943,-73.93152
Ailanthus altissima,40.770536,-73.957414
Ailanthus altissima,40.879802,-73.914215
Ailanthus altissima,40.890621,-73.91787
Ailanthus altissima,40.738178,-74.000717
Ailanthus altissima,42.279656,-73.710976
Ailanthus altissima,40.778323,-73.950303
Ailanthus altissima,40.874409,-73.805402
Ailanthus altissima,40.873943,-73.80607
Ailanthus altissima,40.772891,-73.956001
Ailanthus altissima,40.772933,-73.956185
Ailanthus altissima,40.772724,-73.95592
Ailanthus altissima,40.810055,-73.876692
Ailanthus altissima,40.872555,-73.887617
Ailanthus altissima,40.771279,-73.954238
Ailanthus altissima,40.757498,-73.929542
Ailanthus altissima,40.859758,-73.892003
Ailanthus altissima,40.859179,-73.89241
Ailanthus altissima,40.772931,-73.956023
Ailanthus altissima,40.746387,-73.974891
Ailanthus altissima,40.748135,-73.97542
Ailanthus altissima,40.74642,-73.975017
Ailanthus altissima,40.74526,-73.974801
Ailanthus altissima,40.77034,-73.952194
Ailanthus altissima,40.768614,-73.949664
Ailanthus altissima,40.771252,-73.954358
Ailanthus altissima,40.771476,-73.954301
Ailanthus altissima,40.429443,-79.945831
Ailanthus altissima,40.774469,-73.95566
Ailanthus altissima,40.87944,-73.887716
Ailanthus altissima,40.886397,-73.907826
Ailanthus altissima,40.714115,-73.923879
Ailanthus altissima,40.76806,-73.953164
Ailanthus altissima,40.723181,-73.926844
Ailanthus altissima,40.88102,-73.912925
Ailanthus altissima,40.778521,-73.950406
Ailanthus altissima,40.770333,-73.952478
Ailanthus altissima,40.771382,-73.954465
Ailanthus altissima,42.419282,-76.513741
Ailanthus altissima,40.851476,-73.897017
Ailanthus altissima,42.137325,-76.816441
Ailanthus altissima,40.857565,-73.893169
Ailanthus altissima,40.85918,-73.892047
Ailanthus altissima,40.84273,-73.825059
Ailanthus altissima,40.804134,-73.922907
Ailanthus altissima,40.809864,-73.876867
Ailanthus altissima,40.770326,-73.951716
Ailanthus altissima,40.724863,-73.495963
Ailanthus altissima,40.7755,-73.991969
Ailanthus altissima,52.358429,12.978149
Ailanthus altissima,40.859153,-73.892434
